"Name","Total Time","Total Time (CPU)","Hits"
"                                java.awt.AWTEventMulticaster.mouseReleased ()","500 ms (-0%)","500 ms (-0%)","1"
"                                 chs.caf.caplet.helpers.AbstractActionMgr.mouseReleased ()","500 ms (-0%)","500 ms (-0%)","1"
"                                  chs.caf.caplet.helpers.AbstractActionMgr.forwardEvent ()","500 ms (-0%)","500 ms (-0%)","1"
"                                   chs.caf.caplet.helpers.EventDistributorHelper.mouseReleased ()","500 ms (-0%)","500 ms (-0%)","1"
"                                    java.util.ArrayList.forEach ()","500 ms (-0%)","500 ms (-0%)","1"
"                                     chs.caf.caplet.helpers.EventDistributorHelper$$Lambda$2218.0x0000000802250840.accept ()","500 ms (-0%)","500 ms (-0%)","1"
"                                      chs.caf.caplet.helpers.EventDistributorHelper.lambda$mouseReleased$8 ()","500 ms (-0%)","500 ms (-0%)","1"
"                                       chs.caplets.logic.actions.AbstractAddDeviceFromLibraryPartAction.mouseReleased ()","500 ms (-0%)","500 ms (-0%)","1"
"                                        chs.caplets.logic.actions.AddParameterizedDeviceFromLibraryPartAction.mouseReleased ()","500 ms (-0%)","500 ms (-0%)","1"
"                                         chs.caplets.logic.actions.AddParameterizedDeviceFromLibraryPartAction.setupAddPinHelper ()","400 ms (-0%)","400 ms (-0%)","1"
"                                          chs.caplets.logic.actions.AddPinActionHelper.setUp ()","400 ms (-0%)","400 ms (-0%)","1"
"                                           chs.caplets.logic.actions.AbstractPinActionHelper.setUp ()","400 ms (-0%)","400 ms (-0%)","1"
"                                            chs.caplets.logic.actions.AbstractPinActionHelper.setupNextPin ()","400 ms (-0%)","400 ms (-0%)","1"
"                                             chs.caplets.logic.actions.AbstractPinActionHelper.resetTransientGraphicsAndrecalConstrainsts ()","400 ms (-0%)","400 ms (-0%)","1"
"                                              chs.caplets.logic.actions.AbstractPinActionHelper.generateConstraintDynamicGraphics ()","400 ms (-0%)","400 ms (-0%)","1"
"                                               java.util.Collections$UnmodifiableCollection.forEach ()","400 ms (-0%)","400 ms (-0%)","1"
"                                                java.util.ArrayList.forEach ()","400 ms (-0%)","400 ms (-0%)","1"
"                                                 chs.caplets.logic.actions.AbstractPinActionHelper$$Lambda$2238.0x0000000802255440.accept ()","400 ms (-0%)","400 ms (-0%)","1"
"                                                  chs.caplets.logic.actions.AbstractPinActionHelper.lambda$generateConstraintDynamicGraphics$8 ()","400 ms (-0%)","400 ms (-0%)","1"
"                                                   chs.caplets.logic.actions.AbstractPinActionHelper.isPlacementNotAllowed ()","199 ms (-0%)","199 ms (-0%)","1"
"                                                    chs.caplets.logic.actions.AbstractPinActionHelper.isActionAllowed ()","199 ms (-0%)","199 ms (-0%)","1"
"                                                     chs.caplets.logic.actions.AbstractPinActionHelper$PinPlacementController.allow ()","199 ms (-0%)","199 ms (-0%)","1"
"                                                      chs.caplets.logic.actions.AbstractPinActionHelper$PinPlacementController.allow ()","199 ms (-0%)","199 ms (-0%)","1"
"                                                       chs.cofUtils.parameterized.PinPlacementConstraintsHolder.allow ()","199 ms (-0%)","199 ms (-0%)","1"
"                                                        chs.cofUtils.parameterized.PinPlacementConstraintsHolder.allow ()","199 ms (-0%)","199 ms (-0%)","1"
"                                                         chs.cofUtils.parameterized.PinBoundaryExtensionCreator.allow ()","100 ms (-0%)","100 ms (-0%)","1"
"                                                         chs.cofUtils.parameterized.PinPlacementConstraintsHolder.getObjectAt ()","99.2 ms (-0%)","99.2 ms (-0%)","1"
